nome;prop;munic1;uf1;munic2;uf2;rio;potkw;atualiz;inicop;potfis;idemp;lat;long;estag
Três Saltos;Jayaditya Empreendimentos e Participações Ltda.;Torrinha;SP;;;Rio Pinheiros;640,00000000;30/10/2023;01/01/1928;640,00000000;2877;-22,37776817;-48,17416667;Operação
Eleutério (rio Euletério);;Itapira;SP;;;Rio Eleutério;1500,00000000;30/10/2023;00000000;0,00000000;0;-22,30000000;-46,76666667;Eixo Disponível
Salto Pinhal;CPFL Geraçã de Energia S.A.;Espírito Santo do Pinhal;SP;;;Rio Mogi-Guaçu;580,00000000;30/10/2023;00000000;580,00000000;28245;-22,27638192;-46,76240695;Extinta
Laranja Doce;Quatiara Energia S.A.;Martinópolis;SP;;;Ribeirão Laranja Doce;720,00000000;30/10/2023;01/01/1929;720,00000000;1310;-22,24694400;-51,17083300;Operação
Lobo;Aratu Geração S.A.;Itirapina;SP;Brotas;SP;Ribeirão do Lobo;1272,00000000;30/10/2023;01/01/1936;1272,00000000;1335;-22,16819695;-47,90293914;Cancelado
Santana;Jayaditya Empreendimentos e Participações Ltda.;São Carlos;SP;Brotas;SP;Rio Jacaré-guaçu;4320,00000000;30/10/2023;25/01/1951;4320,00000000;27415;-22,07401232;-48,04460084;Operação
Micro Central Hidrelétrica Major;"Joaquim Salles Leite Filho
CONSTRUTORA DE OBRAS E PROJETOS LTDA.";Ibaté;SP;São Carlos;SP;Rio do Monjolinho;192,00000000;30/10/2023;01/01/1985;192,00000000;28489;-22,05583300;-48,08833300;Operação
Monjolinho;Mohini Empreendimentos e Participações Ltda.;São Carlos;SP;;;Rio do Monjolinho;600,00000000;30/10/2023;25/01/1909;600,00000000;1486;-22,02279568;-47,91457804;Operação
Quatiara;Quatiara Energia S.A.;Rancharia;SP;Parapuã;SP;Rio do Peixe;2600,00000000;30/10/2023;01/01/1939;2600,00000000;2164;-21,95167443;-50,92912507;Operação
Nossa Senhora das Graças;MDS - Construções, Indústria e Comércio Ltda.;São João da Boa Vista;SP;Vargem Grande do Sul;SP;Rio Jaguari-mirim;2900,00000000;30/10/2023;00000000;0,00000000;1547;-21,93277777;-46,93027777;Eixo Disponibilizado
Retirão;SBE - Sociedade Brasileira de Energia Renovável Ltda.;Vargem Grande do Sul;SP;São João da Boa Vista;SP;Rio Jaguari-mirim;4000,00000000;30/10/2023;00000000;0,00000000;44830;-21,91694444;-46,92638889;Eixo Disponibilizado
Socorro;Mohini Empreendimentos e Participações Ltda.;Araraquara;SP;;;Rio Chibarro;999,00000000;30/10/2023;20/01/1909;999,00000000;2762;-21,88810556;-48,14740833;Operação
Chibarro;Chimay Empreendimentos e Participações Ltda;Araraquara;SP;;;Ribeirão Chibarro;2592,00000000;30/10/2023;20/01/1912;2592,00000000;768;-21,88795691;-48,14748976;Operação
